ORDEN;NACHO;LAUTA;MARIO;RAFA
1;23;30;15;25,5
2;23,5;19;5;23
3;26;17;5;24,5
4;24;15,5;8;21,5
5;20;20;3;24,5
6;21,5;30;11,5;25
7;22;16,5;16;17
8;19;19,5;15;12
9;20,5;16;10;20,5
10;18,5;15;11;20
11;19;15,5;13;24
12;16;18;15;17,5
13;20;22;13;23,5
14;20,5;19;5;18
15;29;17;2;25,5
16;24;18,5;17;25,5
17;24;18,5;19;30
18;21,5;17;10;27,5
19;19;18;7;20
20;27;17;25;22
21;22;18;11;20,5
22;19;20;3;24
23;21,5;17,5;5;23
24;14,5;17;17;24,5
25;17,5;20;12;20,5
26;19;20;19;23
27;23;18;17;24
28;20,5;20,5;4;23
29;20,5;14,5;19;20
30;16,5;20;12;18
