Suplemento,Dosis,Longitud,D-Dosis
VC,"0,5","4,2","D-05"
VC,"0,5","11,5","D-05"
VC,"0,5","7,3","D-05"
VC,"0,5","5,8","D-05"
VC,"0,5","6,4","D-05"
VC,"0,5",10,"D-05"
VC,"0,5","11,2","D-05"
VC,"0,5","11,2","D-05"
VC,"0,5","5,2","D-05"
VC,"0,5",7,"D-05"
VC,1,"16,5",D-1
VC,1,"16,5",D-1
VC,1,"15,2",D-1
VC,1,"17,3",D-1
VC,1,"22,5",D-1
VC,1,"17,3",D-1
VC,1,"13,6",D-1
VC,1,"14,5",D-1
VC,1,"18,8",D-1
VC,1,"15,5",D-1
VC,2,"23,6",D-2
VC,2,"18,5",D-2
VC,2,"33,9",D-2
VC,2,"25,5",D-2
VC,2,"26,4",D-2
VC,2,"32,5",D-2
VC,2,"26,7",D-2
VC,2,"21,5",D-2
VC,2,"23,3",D-2
VC,2,"29,5",D-2
OJ,"0,5","15,2","D-05"
OJ,"0,5","21,5","D-05"
OJ,"0,5","17,6","D-05"
OJ,"0,5","9,7","D-05"
OJ,"0,5","14,5","D-05"
OJ,"0,5",10,"D-05"
OJ,"0,5","8,2","D-05"
OJ,"0,5","9,4","D-05"
OJ,"0,5","16,5","D-05"
OJ,"0,5","9,7","D-05"
OJ,1,"19,7",D-1
OJ,1,"23,3",D-1
OJ,1,"23,6",D-1
OJ,1,"26,4",D-1
OJ,1,20,D-1
OJ,1,"25,2",D-1
OJ,1,"25,8",D-1
OJ,1,"21,2",D-1
OJ,1,"14,5",D-1
OJ,1,"27,3",D-1
OJ,2,"25,5",D-2
OJ,2,"26,4",D-2
OJ,2,"22,4",D-2
OJ,2,"24,5",D-2
OJ,2,"24,8",D-2
OJ,2,"30,9",D-2
OJ,2,"26,4",D-2
OJ,2,"27,3",D-2
OJ,2,"29,4",D-2
OJ,2,23,D-2
